Area/Sex,Total,,,Population that have completed the educational level of,,,,,,,Non-formal education,Level not stated
,,Beginners,Primary (1-5),Lower Secondary (6 -8),Secondary (9 -10),S.L.C. & Equivalent,Intermediate & Equivalent,Graduate & Equivalent,Post Graduate Equivalent & Above,Others,,
Nepal,,,,,,,,,,,,
Total,25231,1044,12633,5242,2505,1684,1110,266,61,86,353,247
Male,16077,553,7077,3461,1952,1404,907,241,55,72,202,153
Female,9154,491,5556,1781,553,280,203,25,6,14,151,94
Humla,,,,,,,,,,,,
Total,22418,2766,9976,3823,2175,1661,1037,238,65,16,635,26
Male,14540,1363,5863,2668,1730,1317,854,222,62,11,434,16
Female,7878,1403,4113,1155,445,344,183,16,3,5,201,10
Bajura,,,,,,,,,,,,
Total,69169,6413,35592,12752,5778,3747,2333,568,172,91,1451,272
Male,40995,3336,19220,8389,4080,2806,1676,510,159,61,628,130
Female,28174,3077,16372,4363,1698,941,657,58,13,30,823,142
Bajhang,,,,,,,,,,,,
Total,98720,7268,50395,17342,8237,5626,4555,1348,249,70,3298,332
Male,60257,3761,28363,11816,5859,4199,3262,1141,241,44,1388,183
Female,38463,3507,22032,5526,2378,1427,1293,207,8,26,1910,149
Achham,,,,,,,,,,,,
Total,130505,9734,64422,23483,11612,7085,5512,1314,276,106,6399,562
Male,75473,5010,34577,14263,7694,5095,3975,1144,256,62,3088,309
Doti,,,,,,,,,,,,
Total,110172,10808,55173,19489,8983,6582,3697,1176,383,100,3482,299
Male,63962,5576,30342,12124,5782,4551,2702,1008,348,53,1319,157
Female,46210,5232,24831,7365,3201,2031,995,168,35,47,2163,142
Kailali,,,,,,,,,,,,
Total,480134,29624,195099,104806,58983,36052,22985,7481,2370,399,20949,1386
Male,266803,15842,105829,58021,34213,21834,14642,5410,1954,221,8122,715
Female,213331,13782,89270,46785,24770,14218,8343,2071,416,178,12827,671
Kanchanpur,,,,,,,,,,,,
Total,293873,12503,120738,66798,35265,21965,16561,6006,2093,259,9820,1865
Male,160416,7033,63468,36192,19956,12639,10059,4169,1706,133,4135,926
Female,133457,5470,57270,30606,15309,9326,6502,1837,387,126,5685,939
Dadeldhura,,,,,,,,,,,,
Total,85603,4780,40025,19750,9280,4406,3485,1052,334,91,2116,284
Male,48124,2517,21058,11294,5843,2859,2291,827,306,57,925,147
Female,37479,2263,18967,8456,3437,1547,1194,225,28,34,1191,137
Baitadi,,,,,,,,,,,,
Total,144321,8225,68913,30118,15351,8476,6020,1521,538,136,4509,514
Male,83004,4104,37436,17994,10026,5512,4016,1327,502,75,1756,256
Female,61317,4121,31477,12124,5325,2964,2004,194,36,61,2753,258
Darchula,,,,,,,,,,,,
Total,80321,4908,36036,16363,8890,6044,4272,1383,429,91,1632,273
Male,45758,2471,19326,9703,5605,3845,2623,1003,373,52,613,144
Female,34563,2437,16710,6660,3285,2199,1649,380,56,39,1019,129
